asset_id,display_name_zh,runtime_name,category,source_file,source_object,source_version,mobile_policy,render_policy,triangle_budget,material_set,texture_set,landmark_id,status
CL.BLD.Source.022,,CL_BLD_Source_022,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.164,20260630,required,required,492,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.BLD.TomatoClockTower.01,番茄钟楼,CL_BLD_TomatoClockTower_01,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.018,20260630,required,required,19712,MAT_CL_TomatoClockTower,T_CL_TomatoClockTower_BaseColor_1024.png,TOMATO_CLOCK_TOWER,READY
CL.BLD.TownGate.01,小镇入口,CL_BLD_TownGate_01,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.009,20260630,required,required,10000,MAT_CL_TownGate,T_CL_TownGate_BaseColor_1024.png,TOWN_GATE,READY
CL.ENV.IslandBase.01,完整空岛,CL_ENV_IslandBase_01,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,柱体,20260630,required,required,764,MAT_CL_GrassSoftGreen|MAT_CL_SoilWarm|MAT_CL_IslandDarkBottom|MAT_CL_GrassLight|MAT_CL_SoilEdge|MAT_CL_GrassDeep,,ISLAND,READY
CL.ENV.IslandFlowers.01,空岛花丛,CL_ENV_IslandFlowers_01,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,CL_StylePass_LowPoly_ColorFlowers_OnIsland,20260630,required,required,35,MAT_CL_AccentFlower,,ISLAND_FLOWERS,READY
CL.ENV.IslandGrass.01,空岛草丛,CL_ENV_IslandGrass_01,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,CL_StylePass_LowPoly_GrassPuffs_OnIsland,20260630,required,required,1364,MAT_CL_FoliageGreen,,ISLAND_GRASS,READY
CL.ENV.IslandStones.01,空岛石块,CL_ENV_IslandStones_01,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,CL_StylePass_LowPoly_TanStones_OnIsland,20260630,required,required,168,MAT_CL_StoneLight,,ISLAND_STONES,READY
CL.ENV.RewardTree.01,许愿树,CL_ENV_RewardTree_01,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.017,20260630,required,required,7687,MAT_CL_RewardTree,T_CL_RewardTree_BaseColor_1024.png,REWARD_TREE,READY
CL.ENV.Source.005,,CL_ENV_Source_005,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.019,20260630,required,required,951,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.ENV.Source.006,,CL_ENV_Source_006,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.041,20260630,required,required,1378,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.ENV.Source.007,,CL_ENV_Source_007,ENV,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.047,20260630,required,required,4705,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.CenterStone.01,中心石板,CL_PROP_CenterStone_01,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.010,20260630,required,required,15001,MAT_CL_CenterStone,T_CL_CenterStone_BaseColor_1024.png,CENTER_STONE,READY
CL.PROP.Source.001,,CL_PROP_Source_001,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.002,20260630,required,required,3361,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.002,,CL_PROP_Source_002,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.004,20260630,required,required,702,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.003,,CL_PROP_Source_003,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.006,20260630,required,required,3710,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.004,,CL_PROP_Source_004,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.009,20260630,required,required,1544,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.PROP.Source.006,,CL_PROP_Source_006,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.011,20260630,required,required,144,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.PROP.Source.007,,CL_PROP_Source_007,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.001,20260630,required,required,3101,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.008,,CL_PROP_Source_008,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.006,20260630,required,required,369,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.009,,CL_PROP_Source_009,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.011,20260630,required,required,4198,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.010,,CL_PROP_Source_010,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.012,20260630,required,required,341,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.011,,CL_PROP_Source_011,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.014,20260630,required,required,997,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.012,,CL_PROP_Source_012,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.016,20260630,required,required,1271,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.013,,CL_PROP_Source_013,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.021,20260630,required,required,665,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.014,,CL_PROP_Source_014,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.023,20260630,required,required,881,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.015,,CL_PROP_Source_015,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.024,20260630,required,required,1123,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.PROP.Source.016,,CL_PROP_Source_016,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.026,20260630,required,required,839,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.017,,CL_PROP_Source_017,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.027,20260630,required,required,741,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.018,,CL_PROP_Source_018,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.029,20260630,required,required,758,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.019,,CL_PROP_Source_019,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.030,20260630,required,required,845,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.020,,CL_PROP_Source_020,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.031,20260630,required,required,927,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.021,,CL_PROP_Source_021,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.032,20260630,required,required,205,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.022,,CL_PROP_Source_022,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.033,20260630,required,required,629,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.023,,CL_PROP_Source_023,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.034,20260630,required,required,119,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.024,,CL_PROP_Source_024,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.035,20260630,required,required,934,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.025,,CL_PROP_Source_025,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.046,20260630,required,required,648,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.026,,CL_PROP_Source_026,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.053,20260630,required,required,920,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.027,,CL_PROP_Source_027,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.054,20260630,required,required,745,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.028,,CL_PROP_Source_028,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.055,20260630,required,required,455,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.029,,CL_PROP_Source_029,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.057,20260630,required,required,246,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.PROP.Source.030,,CL_PROP_Source_030,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.102,20260630,required,required,1005,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.031,,CL_PROP_Source_031,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.103,20260630,required,required,783,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.032,,CL_PROP_Source_032,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.104,20260630,required,required,1184,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.033,,CL_PROP_Source_033,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.105,20260630,required,required,463,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.034,,CL_PROP_Source_034,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.106,20260630,required,required,720,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.035,,CL_PROP_Source_035,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.107,20260630,required,required,205,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.036,,CL_PROP_Source_036,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.109,20260630,required,required,603,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.037,,CL_PROP_Source_037,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.110,20260630,required,required,213,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.038,,CL_PROP_Source_038,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.111,20260630,required,required,243,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.039,,CL_PROP_Source_039,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.112,20260630,required,required,776,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.040,,CL_PROP_Source_040,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.113,20260630,required,required,493,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.041,,CL_PROP_Source_041,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.114,20260630,required,required,560,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.042,,CL_PROP_Source_042,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.116,20260630,required,required,733,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.043,,CL_PROP_Source_043,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.118,20260630,required,required,993,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.044,,CL_PROP_Source_044,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.119,20260630,required,required,364,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.045,,CL_PROP_Source_045,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.121,20260630,required,required,303,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.046,,CL_PROP_Source_046,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.122,20260630,required,required,1028,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.047,,CL_PROP_Source_047,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.123,20260630,required,required,269,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.048,,CL_PROP_Source_048,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.124,20260630,required,required,410,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.049,,CL_PROP_Source_049,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.125,20260630,required,required,1506,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.050,,CL_PROP_Source_050,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.128,20260630,required,required,408,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.051,,CL_PROP_Source_051,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.129,20260630,required,required,351,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.052,,CL_PROP_Source_052,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.131,20260630,required,required,1172,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.053,,CL_PROP_Source_053,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.132,20260630,required,required,253,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.054,,CL_PROP_Source_054,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.133,20260630,required,required,455,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.055,,CL_PROP_Source_055,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.134,20260630,required,required,522,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.056,,CL_PROP_Source_056,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.137,20260630,required,required,455,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.057,,CL_PROP_Source_057,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.138,20260630,required,required,448,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.058,,CL_PROP_Source_058,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.139,20260630,required,required,527,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.059,,CL_PROP_Source_059,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.140,20260630,required,required,772,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.060,,CL_PROP_Source_060,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.142,20260630,required,required,277,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.061,,CL_PROP_Source_061,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.143,20260630,required,required,567,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.062,,CL_PROP_Source_062,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.144,20260630,required,required,719,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.063,,CL_PROP_Source_063,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.146,20260630,required,required,408,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.064,,CL_PROP_Source_064,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.148,20260630,required,required,279,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.065,,CL_PROP_Source_065,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.149,20260630,required,required,910,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.066,,CL_PROP_Source_066,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.151,20260630,required,required,548,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.067,,CL_PROP_Source_067,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.152,20260630,required,required,431,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.068,,CL_PROP_Source_068,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.153,20260630,required,required,777,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.069,,CL_PROP_Source_069,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.154,20260630,required,required,522,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.PROP.Source.070,,CL_PROP_Source_070,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.155,20260630,required,required,911,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.PROP.Source.071,,CL_PROP_Source_071,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.156,20260630,required,required,472,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.PROP.Source.072,,CL_PROP_Source_072,PROP,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.157,20260630,required,required,408,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
